element,central,intergrade,extragrade,intragrade,derivation,connotation,simplified,link
ombroaquic,FALSE,,,TRUE,rain + water,surface wetness,,
oxyaquic,FALSE,,,TRUE,oxygen + water,water saturated but not reduced,,
pachic,FALSE,,,TRUE,thick,epipedon thicker than typic subgroup,,
petrocalcic,FALSE,,,FALSE,rock + lime,presence of a petrocalcic horizon,,
petroferric,FALSE,,,FALSE,rock + iron,presence of petroferric contact,,
petrogypsic,FALSE,,,FALSE,rock + gypsum,presence of a petrogypsic horizon,,
petronodic,FALSE,,,FALSE,rock + knot,presence of concretions and/or nodules,,
placic,FALSE,,,FALSE,flat stone,presence of a placic horizon,,
plinthic,FALSE,,,FALSE,brick,presence of plinthite,,
rhodic,FALSE,,,TRUE,rose,darker red colors than typic subgroup,,
ruptic,FALSE,,,FALSE,broken,intermittent horizon,,
salic,FALSE,,,FALSE,salt,presence of a salic horizon,,
sapric,FALSE,,,FALSE,rotten,>25cm of sapric organic material,,
sodic,FALSE,,,FALSE,sodium,high exchangeable Na content,,
sombric,FALSE,,,FALSE,dark,presence of a sombric horizon,,
sphagnic,FALSE,,,FALSE,moss,sphagnum organic material,,
sulfic,FALSE,,,FALSE,sulfur,presence of sulfides,,
terric,FALSE,,,TRUE,earth,mineral substratum within 1 meter,,
thaptic,FALSE,,,FALSE,buried,presence of a buried soil horizon,,
thapto,FALSE,,,FALSE,buried,presence of a buried soil horizon,,
turbic,FALSE,,,TRUE,disturbed,evidence of cryoturbation,,
udic,FALSE,,,TRUE,humid,more humid than typic subgroup,,
umbric,FALSE,,,FALSE,shade,presence of an umbric epipedon,,
ustic,FALSE,,,TRUE,burnt,more ustic than typic subgroup,,
vermic,FALSE,,,FALSE,worms,animal mixed material,,
vitric,FALSE,,,FALSE,glass,presence of glassy material,,
xanthic,FALSE,,,TRUE,yellow,more yellow than typic subgroup,,
xeric,FALSE,,,TRUE,dry,more xeric than typic subgroup,,
typic,TRUE,FALSE,FALSE,FALSE,typical,central theme of subgroup concept,,
haplic,TRUE,FALSE,FALSE,FALSE,simple,central theme of subgroup concept,,
acraquoxic,,,,,low CEC + water + oxygen,very low ECEC and more aeration than central theme of subgroup concept,,
acrudoxic,,,,,,,,
acrustoxic,,,,,,,,
albaquultic,,,,,,,,
andic,,,,,,,,
anhydritic,,,,,,,,
anthraltic,,,,,,,,
anthrodensic,,,,,,,,
anthroportic,,,,,,,,
aqualfic,,,,,,,,
aquandic,,,,,,,,
aquentic,,,,,,,,
aqueptic,,,,,,,,
aquertic,,,,,,,,
aquicambidic,,,,,,,,
aquodic,,,,,,,,
aquollic,,,,,,,,
aquultic,,,,,,,,
argiaquic,,,,,,,,
argidic,,,,,,,,
argiduridic,,,,,,,,
calciargidic,,,,,,,,
calcidic,,,,,,,,
cambidic,,,,,,,,
duridic,,,,,,,,
fluventic,,,,,,,,
folistic,,,,,,,,
grossic,,,,,,,,
haplargidic,,,,,,,,
haplocalcidic,,,,,,,,
haploduridic,,,,,,,,
haploplaggic,,,,,,,,
haploxeralfic,,,,,,,,
haploxerandic,,,,,,,,
haploxerollic,,,,,,,,
haplustandic,,,,,,,,
histic,,,,,,,,
humaqueptic,,,,,,,,
hydraquentic,,,,,,,,
inceptic,,,,,,,,
kandiudalfic,,,,,,,,
kandiustalfic,,,,,,,,
kanhaplic,,,,,,,,
lithic-ruptic-entic,,,,,,,,
mollic,,,,,,,,
natrargidic,,,,,,,,
natrixeralfic,,,,,,,,
oxic,,,,,,,,
paleargidic,,,,,,,,
palexerollic,,,,,,,,
petrocalcidic,,,,,,,,
plinthaquic,,,,,,,,
psammentic,,,,,,,,
rendollic,,,,,,,,
ruptic-alfic,,,,,,,,
ruptic-entic,,,,,,,,
ruptic-histic,,,,,,,,
ruptic-inceptic,,,,,,,,
ruptic-lithic,,,,,,,,
ruptic-ultic,,,,,,,,
salidic,,,,,,,,
spodic,,,,,,,,
sulfaqueptic,,,,,,,,
sulfuric,,,,,,,,
thapto-histic,,,,,,,,
torrertic,,,,,,,,
torrifluventic,,,,,,,,
torriorthentic,,,,,,,,
torripsammentic,,,,,,,,
torroxic,,,,,,,,
udandic,,,,,,,,
udertic,,,,,,,,
udifluventic,,,,,,,,
udollic,,,,,,,,
udorthentic,,,,,,,,
udoxic,,,,,,,,
ultic,,,,,,,,
ustalfic,,,,,,,,
ustandic,,,,,,,,
ustertic,,,,,,,,
ustifluventic,,,,,,,,
ustivitrandic,,,,,,,,
ustollic,,,,,,,,
ustoxic,,,,,,,,
vertic,,,,,,,,
vitrandic,,,,,,,,
vitritorrandic,,,,,,,,
vitrixerandic,,,,,,,,
xeralfic,,,,,,,,
xereptic,,,,,,,,
xerertic,,,,,,,,
xerofluventic,,,,,,,,
xerollic,,,,,,,,
